site,recordedBy,lat,long,uncertainty,species ,Nindividuals,year,Elev
PR 956 Guzman Abajo,Otero & Huey,18.3572,-66.8373,500,cristatellus,1,2012,57
"across bridge, Las Banbuas Rio Grande Plantation Eco Resort",Otero & Huey,18.3453,-65.8362,500,gundlachi,1,2012,59
"PR 186, Guzman Abajo",Otero & Huey,18.3538,-65.8255,500,cristatellus,1,2012,32
PR 976,Otero & Huey,18.2803,-65.7297,500,gundlachi,1,2012,212
"Campamento Elisa Colberg, adjacent to Ranger House",Huey,18.3393,-65.8283046,250,cristatellus,26,1978,
"Campamento Elisa Colberg, adjacent to Ranger House",Huey & Otero,18.3393,-65.8283046,250,cristatellus,26,1972,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,cristatellus,901,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,gundlachi,759,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,cuvieri,1,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,evermanni,7,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,krugi,10,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,pulchellus,2,2012,
"Campamento Elisa Colberg, adjacent to Ranger House",Otero ,18.3393,-65.8283046,250,stratulus,18,2012,
"Monagas, Puerto Rico",Huey & Otero,18.4077,-66.1387,1000,cristatellus,1,2012,
Monte Guillarte ,Huey & Webster 1972,18.1466,-66.768722,1000,gundlachi,1,1972,968
Monte Guillarte ,Huey & Webster 1972,18.1466,-66.768722,1000,evermanni,1,1972,968
Monte Guillarte ,Huey & Webster 1972,18.1466,-66.768722,1000,krugi,1,1972,968
Toro Negro,Huey & Webster 1972,18.158,-66.5662513,1000,gundlachi,1,1972,1150
Toro Negro,Huey & Webster 1972,18.158,-66.5662513,1000,krugi,1,1972,1150
Toro Negro,Huey & Webster 1972,18.158,-66.5662513,1000,evermanni,1,1972,1150
KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.,Huey & Webster 1972,18.2189,-66.5170167,100,gundlachi,1,1972,350
KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.,Huey & Webster 1972,18.2189,-66.5170167,100,cristatellus,1,1972,350
KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.,Huey & Webster 1972,18.2189,-66.5170167,100,stratulus,1,1972,350
KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.,Huey & Webster 1972,18.2189,-66.5170167,100,evermanni,1,1972,350
KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.,Huey & Webster 1972,18.2189,-66.5170167,100,krugi,1,1972,350
El Verde,Huey & Webster 1972,18.3211,-65.8221388,500,gundlachi,1,1972,
El Verde,Huey & Webster 1972,18.3211,-65.8221388,500,cristatellus,1,1972,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,gundlachi,1,1971,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,evermanni,1,1971,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,stratulus,1,1971,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,krugi,1,1971,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,cuvieri,1,1971,
El Verde,Schoener and Schoener 1971,18.3211,-65.8221388,500,gundlachi,1,1971,
Base of Mt Britten Trail,Huey & Webster 1972,18.2997,-65.7874046,500,gundlachi,1,1972,650
"Maricao Lookout, Maricao Insular Forest (860-900M)",Huey & Webster 1972,18.1448,-66.9800014,500,cristatellus,1,1972,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Huey & Webster 1972,18.1448,-66.9800014,500,gundlachi,1,1972,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,gundlachi,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,evermanni,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,stratulus,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,krugi,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,cristatellus,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Schoener and Schoener 1971,18.1448,-66.9800014,500,cuvieri,1,1971,880
"Maricao Lookout, Maricao Insular Forest (860-900M)",Williams et al. (1965),18.1448,-66.9800014,500,occultus,1,1965,880
"Punta Salinas, Levittown, junction Hwy 15 and Hwy 868 (near sea level)",Huey & Webster 1972,18.4664,-66.1886503,500,cristatellus,1,1972,10
"Luquillo, 440M",Lister 1981 Ecology,18.3241,-65.7336407,2500,gundlachi,1,1976,440
"Luquillo, 440M",Lister 1981 Ecology,18.3241,-65.7336407,2500,evermanni,1,1976,440
"Luquillo, 440M",Lister 1981 Ecology,18.3241,-65.7336407,2500,stratulus,1,1976,440
"Luquillo, 440M",Lister 1981 Ecology,18.3241,-65.7336407,2500,cuvieri,1,1976,440
"Luquillo, 440M",Lister 1981 Ecology,18.3241,-65.7336407,2500,cristatellus,1,1976,440
"Luquillo, 440M",Lister 1981 Ecology,18.3336,-65.774196,2500,krugi,1,1976,440
Guajataca,Paul Hertz,18.4212,-66.9761,500,cristatellus,1,2012,208
Guajataca,Paul Hertz,18.4212,-66.9761,500,gundlachi,1,2012,208
Monte Guilarte,Paul Hertz,18.1466,-66.768722,500,cristatellus,1,2012,942
Monte Guilarte,Paul Hertz,18.1466,-66.768722,500,gundlachi,1,2012,942
Carabali,Luisa Otero,18.3622606,-65.7684995,500,cristatellus,6,2012,
Carabali,Luisa Otero,18.3622606,-65.7684995,500,evermanni,1,2012,
Carabali,Luisa Otero,18.3622606,-65.7684995,500,gundlachi,565,2012,
Carabali,Luisa Otero,18.3622606,-65.7684995,500,stratulus,1,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,cristatellus,3,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,evermanni,7,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,gundlachi,2485,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,stratulus,12,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,cooki,1297,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,cristatellus,1173,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,pulchellus,2,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,stratulus,2,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,cristatellus,485,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,evermanni,4,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,gundlachi,160,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,krugi,1,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,stratulus,4,2012,
MtBritton,Luisa Otero,18.3019,-65.792998,500,evermanni,2,2012,
MtBritton,Luisa Otero,18.3019,-65.792998,500,gundlachi,593,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,cristatellus,2983,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,evermanni,9,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,stratulus,6,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,cristatellus,901,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,cuvieri,1,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,evermanni,7,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,gundlachi,759,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,krugi,10,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,pulchellus,2,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,stratulus,18,2012,
RioPiedras,Luisa Otero,18.4035,-66.1007,500,cristatellus,979,2012,
RioPiedras,Luisa Otero,18.4035,-66.1007,500,stratulus,9,2012,
Monagas,Luisa Otero,18.407,-66.138,500,cristatellus,1114,2012,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,cristatellus,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,evermanni,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,gundlachi,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,pulchellus,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,cristatellus,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,gundlachi,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,pulchellus,1,2006,
Herrera Montes Site A3,Adriana Herrera Montes,18.3437,-65.732322,500,gundlachi,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,cristatellus,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,evermanni,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,gundlachi,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,pulchellus,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,stratulus,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,cristatellus,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,evermanni,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,gundlachi,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,stratulus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,cristatellus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,gundlachi,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,pulchellus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,stratulus,1,2006,
Herrera Montes Site J1,Adriana Herrera Montes,18.352313,-65.735603,500,krugi,1,2006,
Herrera Montes Site J1,Adriana Herrera Montes,18.352313,-65.735603,500,pulchellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,cristatellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,pulchellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,stratulus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,cristatellus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,pulchellus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,stratulus,1,2006,
Herrera Montes Site P1,Adriana Herrera Montes,18.353859,-65.730763,500,pulchellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,cristatellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,gundlachi,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,krugi,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,pulchellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,stratulus,1,2006,